Size,Pressure Class,Bonnet,Yokeboss,Actuator,Name
NPS 1,BWE,Plain,2 13/16,45i,FCVCAD000076
NPS 1,BWE,Plain,2 13/16,46i,FCVCAD000077
NPS 1,BWE,Ext 1,2 13/16,40i,FCVCAD000078
NPS 1,BWE,Ext 1,2 13/16,45i,FCVCAD000079
NPS 1,BWE,Ext 1,2 13/16,46i,FCVCAD000080
NPS 1,BWE,Plain,3  9/16,50i,FCVCAD000081
NPS 1,BWE,Plain,3  9/16,60i,FCVCAD000082
NPS 1,BWE,Plain,3  9/16,70i,FCVCAD000083
NPS 1,BWE,Plain,3  9/16,76i,FCVCAD000084
NPS 1,PN16-40,Plain,2 1/8,30i,FCVCAD000085
NPS 1,PN16-40,Plain,2 1/8,34i,FCVCAD000086
NPS 1,PN16-40,Ext 1,2 1/8,30i,FCVCAD000087
NPS 1,PN16-40,Ext 1,2 1/8,34i,FCVCAD000088
NPS 1,PN16-40,Plain,2 13/16,40i,FCVCAD000089
NPS 1,PN16-40,Plain,2 13/16,45i,FCVCAD000090
NPS 1,PN16-40,Plain,2 13/16,46i,FCVCAD000091
NPS 1,PN16-40,Ext 1,2 13/16,40i,FCVCAD000092
NPS 1,PN16-40,Ext 1,2 13/16,45i,FCVCAD000093
NPS 1,PN16-40,Ext 1,2 13/16,46i,FCVCAD000094
NPS 1,PN16-40,Plain,3  9/16,50i,FCVCAD000095
NPS 1,PN16-40,Plain,3  9/16,60i,FCVCAD000096
NPS 1,PN16-40,Plain,3  9/16,70i,FCVCAD000097
NPS 1,PN16-40,Plain,3  9/16,76i,FCVCAD000098
NPS 1,PN63-100,Plain,2 1/8,30i,FCVCAD000099
NPS 1,PN63-100,Plain,2 1/8,34i,FCVCAD000100
NPS 1,PN63-100,Ext 1,2 1/8,30i,FCVCAD000101
NPS 1,PN63-100,Ext 1,2 1/8,34i,FCVCAD000102
NPS 1,PN63-100,Plain,2 13/16,40i,FCVCAD000103
NPS 1,PN63-100,Plain,2 13/16,45i,FCVCAD000104
NPS 1,PN63-100,Plain,2 13/16,46i,FCVCAD000105
NPS 1,PN63-100,Ext 1,2 13/16,40i,FCVCAD000106
NPS 1,PN63-100,Ext 1,2 13/16,45i,FCVCAD000107
NPS 1,PN63-100,Ext 1,2 13/16,46i,FCVCAD000108
NPS 1,PN63-100,Plain,3  9/16,50i,FCVCAD000109
NPS 1,PN63-100,Plain,3  9/16,60i,FCVCAD000110
NPS 1,PN63-100,Plain,3  9/16,70i,FCVCAD000111
NPS 1,PN63-100,Plain,3  9/16,76i,FCVCAD000112
NPS 1 1/2,CL150 RF,Plain,2 1/8,30i,FCVCAD000113
NPS 1 1/2,CL150 RF,Plain,2 1/8,34i,FCVCAD000114
NPS 1 1/2,CL150 RF,Ext 1,2 1/8,30i,FCVCAD000115
NPS 1 1/2,CL150 RF,Ext 1,2 1/8,34i,FCVCAD000116
NPS 1 1/2,CL150 RF,Plain,2 13/16,40i,FCVCAD000117
NPS 1 1/2,CL150 RF,Plain,2 13/16,45i,FCVCAD000118
NPS 1 1/2,CL150 RF,Plain,2 13/16,46i,FCVCAD000119
NPS 1 1/2,CL150 RF,Ext 1,2 13/16,40i,FCVCAD000120
NPS 1 1/2,CL150 RF,Ext 1,2 13/16,45i,FCVCAD000121
NPS 1 1/2,CL150 RF,Ext 1,2 13/16,46i,FCVCAD000122
NPS 1 1/2,CL150 RF,Plain,3  9/16,50i,FCVCAD000123
NPS 1 1/2,CL150 RF,Plain,3  9/16,60i,FCVCAD000124
