Size,Pressure Class,Bonnet,Yokeboss,Actuator,Name
NPS 2,CL600 RTJ,Ext 1,3  9/16,60i,FCVCAD000366
NPS 2,CL600 RTJ,Ext 1,3  9/16,70i,FCVCAD000367
NPS 2,CL600 RTJ,Ext 1,3  9/16,76i,FCVCAD000368
NPS 2,CL600 RTJ,Plain,5,80,FCVCAD000369
NPS 2,CL600 RTJ,Plain,5,87,FCVCAD000370
NPS 2,BWE,Plain,2 13/16,40i,FCVCAD000371
NPS 2,BWE,Plain,2 13/16,45i,FCVCAD000372
NPS 2,BWE,Plain,2 13/16,46i,FCVCAD000373
NPS 2,BWE,Ext 1,2 13/16,40i,FCVCAD000374
NPS 2,BWE,Ext 1,2 13/16,45i,FCVCAD000375
NPS 2,BWE,Ext 1,2 13/16,46i,FCVCAD000376
NPS 2,BWE,Plain,3  9/16,50i,FCVCAD000377
NPS 2,BWE,Plain,3  9/16,60i,FCVCAD000378
NPS 2,BWE,Plain,3  9/16,70i,FCVCAD000379
NPS 2,BWE,Plain,3  9/16,76i,FCVCAD000380
NPS 2,BWE,Ext 1,3  9/16,50i,FCVCAD000381
NPS 2,BWE,Ext 1,3  9/16,60i,FCVCAD000382
NPS 2,BWE,Ext 1,3  9/16,70i,FCVCAD000383
NPS 2,BWE,Ext 1,3  9/16,76i,FCVCAD000384
NPS 2,BWE,Plain,5,80,FCVCAD000385
NPS 2,BWE,Plain,5,87,FCVCAD000386
NPS 2,PN16-40,Plain,2 13/16,40i,FCVCAD000387
NPS 2,PN16-40,Plain,2 13/16,45i,FCVCAD000388
NPS 2,PN16-40,Plain,2 13/16,46i,FCVCAD000389
NPS 2,PN16-40,Ext 1,2 13/16,40i,FCVCAD000390
NPS 2,PN16-40,Ext 1,2 13/16,45i,FCVCAD000391
NPS 2,PN16-40,Ext 1,2 13/16,46i,FCVCAD000392
NPS 2,PN16-40,Plain,3  9/16,50i,FCVCAD000393
NPS 2,PN16-40,Plain,3  9/16,60i,FCVCAD000394
NPS 2,PN16-40,Plain,3  9/16,70i,FCVCAD000395
NPS 2,PN16-40,Plain,3  9/16,76i,FCVCAD000396
NPS 2,PN16-40,Ext 1,3  9/16,50i,FCVCAD000397
NPS 2,PN16-40,Ext 1,3  9/16,60i,FCVCAD000398
NPS 2,PN16-40,Ext 1,3  9/16,70i,FCVCAD000399
NPS 2,PN16-40,Ext 1,3  9/16,76i,FCVCAD000400
NPS 2,PN16-40,Plain,5,80,FCVCAD000401
NPS 2,PN16-40,Plain,5,87,FCVCAD000402
NPS 2,PN63,Plain,2 13/16,40i,FCVCAD000403
NPS 2,PN63,Plain,2 13/16,45i,FCVCAD000404
NPS 2,PN63,Plain,2 13/16,46i,FCVCAD000405
NPS 2,PN63,Ext 1,2 13/16,40i,FCVCAD000406
NPS 2,PN63,Ext 1,2 13/16,45i,FCVCAD000407
NPS 2,PN63,Ext 1,2 13/16,46i,FCVCAD000408
NPS 2,PN63,Plain,3  9/16,50i,FCVCAD000409
NPS 2,PN63,Plain,3  9/16,60i,FCVCAD000410
NPS 2,PN63,Plain,3  9/16,70i,FCVCAD000411
NPS 2,PN63,Plain,3  9/16,76i,FCVCAD000412
NPS 2,PN63,Ext 1,3  9/16,50i,FCVCAD000413
NPS 2,PN63,Ext 1,3  9/16,60i,FCVCAD000414
NPS 2,PN63,Ext 1,3  9/16,70i,FCVCAD000415
NPS 2,PN63,Ext 1,3  9/16,76i,FCVCAD000416
NPS 2,PN63,Plain,5,80,FCVCAD000417
NPS 2,PN63,Plain,5,87,FCVCAD000418
NPS 2,PN100,Plain,2 13/16,40i,FCVCAD000419
NPS 2,PN100,Plain,2 13/16,45i,FCVCAD000420
NPS 2,PN100,Plain,2 13/16,46i,FCVCAD000421
NPS 2,PN100,Ext 1,2 13/16,40i,FCVCAD000422
NPS 2,PN100,Ext 1,2 13/16,45i,FCVCAD000423
NPS 2,PN100,Ext 1,2 13/16,46i,FCVCAD000424
NPS 2,PN100,Plain,3  9/16,50i,FCVCAD000425
NPS 2,PN100,Plain,3  9/16,60i,FCVCAD000426
NPS 2,PN100,Plain,3  9/16,70i,FCVCAD000427
NPS 2,PN100,Plain,3  9/16,76i,FCVCAD000428
NPS 2,PN100,Ext 1,3  9/16,50i,FCVCAD000429
NPS 2,PN100,Ext 1,3  9/16,60i,FCVCAD000430
NPS 2,PN100,Ext 1,3  9/16,70i,FCVCAD000431
NPS 2,PN100,Ext 1,3  9/16,76i,FCVCAD000432
NPS 2,PN100,Plain,5,80,FCVCAD000433
NPS 2,PN100,Plain,5,87,FCVCAD000434
NPS 2 1/2,CL150 RF,Plain,2 13/16,40i,FCVCAD000435
NPS 2 1/2,CL150 RF,Plain,2 13/16,45i,FCVCAD000436
NPS 2 1/2,CL150 RF,Plain,2 13/16,46i,FCVCAD000437
NPS 2 1/2,CL150 RF,Ext 1,2 13/16,40i,FCVCAD000438
NPS 2 1/2,CL150 RF,Ext 1,2 13/16,45i,FCVCAD000439
NPS 2 1/2,CL150 RF,Ext 1,2 13/16,46i,FCVCAD000440
NPS 2 1/2,CL150 RF,Plain,3  9/16,50i,FCVCAD000441
NPS 2 1/2,CL150 RF,Plain,3  9/16,60i,FCVCAD000442
NPS 2 1/2,CL150 RF,Plain,3  9/16,70i,FCVCAD000443
NPS 2 1/2,CL150 RF,Plain,3  9/16,76i,FCVCAD000444
NPS 2 1/2,CL150 RF,Ext 1,3  9/16,50i,FCVCAD000445
NPS 2 1/2,CL150 RF,Ext 1,3  9/16,60i,FCVCAD000446
NPS 2 1/2,CL150 RF,Ext 1,3  9/16,70i,FCVCAD000447
NPS 2 1/2,CL150 RF,Ext 1,3  9/16,76i,FCVCAD000448
NPS 2 1/2,CL150 RF,Ext 1,5,80,FCVCAD000449
NPS 2 1/2,CL150 RF,Ext 1,5,87,FCVCAD000450
NPS 2 1/2,CL150 RTJ,Plain,2 13/16,40i,FCVCAD000451
NPS 2 1/2,CL150 RTJ,Plain,2 13/16,45i,FCVCAD000452
NPS 2 1/2,CL150 RTJ,Plain,2 13/16,46i,FCVCAD000453
NPS 2 1/2,CL150 RTJ,Ext 1,2 13/16,40i,FCVCAD000454
NPS 2 1/2,CL150 RTJ,Ext 1,2 13/16,45i,FCVCAD000455
NPS 2 1/2,CL150 RTJ,Ext 1,2 13/16,46i,FCVCAD000456
NPS 2 1/2,CL150 RTJ,Plain,3  9/16,50i,FCVCAD000457
NPS 2 1/2,CL150 RTJ,Plain,3  9/16,60i,FCVCAD000458
NPS 2 1/2,CL150 RTJ,Plain,3  9/16,70i,FCVCAD000459
NPS 2 1/2,CL150 RTJ,Plain,3  9/16,76i,FCVCAD000460
NPS 2 1/2,CL150 RTJ,Ext 1,3  9/16,50i,FCVCAD000461
NPS 2 1/2,CL150 RTJ,Ext 1,3  9/16,60i,FCVCAD000462
NPS 2 1/2,CL150 RTJ,Ext 1,3  9/16,70i,FCVCAD000463
NPS 2 1/2,CL150 RTJ,Ext 1,3  9/16,76i,FCVCAD000464
NPS 2 1/2,CL150 RTJ,Ext 1,5,80,FCVCAD000465
NPS 2 1/2,CL150 RTJ,Ext 1,5,87,FCVCAD000466
NPS 2 1/2,CL300 RF,Plain,2 13/16,40i,FCVCAD000467
NPS 2 1/2,CL300 RF,Plain,2 13/16,45i,FCVCAD000468
NPS 2 1/2,CL300 RF,Plain,2 13/16,46i,FCVCAD000469
NPS 2 1/2,CL300 RF,Ext 1,2 13/16,40i,FCVCAD000470
NPS 2 1/2,CL300 RF,Ext 1,2 13/16,45i,FCVCAD000471
NPS 2 1/2,CL300 RF,Ext 1,2 13/16,46i,FCVCAD000472
NPS 2 1/2,CL300 RF,Plain,3  9/16,50i,FCVCAD000473
NPS 2 1/2,CL300 RF,Plain,3  9/16,60i,FCVCAD000474
NPS 2 1/2,CL300 RF,Plain,3  9/16,70i,FCVCAD000475
NPS 2 1/2,CL300 RF,Plain,3  9/16,76i,FCVCAD000476
NPS 2 1/2,CL300 RF,Ext 1,3  9/16,50i,FCVCAD000477
NPS 2 1/2,CL300 RF,Ext 1,3  9/16,60i,FCVCAD000478
NPS 2 1/2,CL300 RF,Ext 1,3  9/16,70i,FCVCAD000479
NPS 2 1/2,CL300 RF,Ext 1,3  9/16,76i,FCVCAD000480
NPS 2 1/2,CL300 RF,Ext 1,5,80,FCVCAD000481
NPS 2 1/2,CL300 RF,Ext 1,5,87,FCVCAD000482
NPS 2 1/2,CL300 RTJ,Plain,2 13/16,40i,FCVCAD000483
NPS 2 1/2,CL300 RTJ,Plain,2 13/16,45i,FCVCAD000484
NPS 2 1/2,CL300 RTJ,Plain,2 13/16,46i,FCVCAD000485
NPS 2 1/2,CL300 RTJ,Ext 1,2 13/16,40i,FCVCAD000486
NPS 2 1/2,CL300 RTJ,Ext 1,2 13/16,45i,FCVCAD000487
NPS 2 1/2,CL300 RTJ,Ext 1,2 13/16,46i,FCVCAD000488
NPS 2 1/2,CL300 RTJ,Plain,3  9/16,50i,FCVCAD000489
NPS 2 1/2,CL300 RTJ,Plain,3  9/16,60i,FCVCAD000490
NPS 2 1/2,CL300 RTJ,Plain,3  9/16,70i,FCVCAD000491
NPS 2 1/2,CL300 RTJ,Plain,3  9/16,76i,FCVCAD000492
NPS 2 1/2,CL300 RTJ,Ext 1,3  9/16,50i,FCVCAD000493
NPS 2 1/2,CL300 RTJ,Ext 1,3  9/16,60i,FCVCAD000494
NPS 2 1/2,CL300 RTJ,Ext 1,3  9/16,70i,FCVCAD000495
NPS 2 1/2,CL300 RTJ,Ext 1,3  9/16,76i,FCVCAD000496
NPS 2 1/2,CL300 RTJ,Ext 1,5,80,FCVCAD000497
NPS 2 1/2,CL300 RTJ,Ext 1,5,87,FCVCAD000498
NPS 2 1/2,CL600 RF,Plain,2 13/16,40i,FCVCAD000499
NPS 2 1/2,CL600 RF,Plain,2 13/16,45i,FCVCAD000500
NPS 2 1/2,CL600 RF,Plain,2 13/16,46i,FCVCAD000501
NPS 2 1/2,CL600 RF,Ext 1,2 13/16,40i,FCVCAD000502
NPS 2 1/2,CL600 RF,Ext 1,2 13/16,45i,FCVCAD000503
NPS 2 1/2,CL600 RF,Ext 1,2 13/16,46i,FCVCAD000504
NPS 2 1/2,CL600 RF,Plain,3  9/16,50i,FCVCAD000505
NPS 2 1/2,CL600 RF,Plain,3  9/16,60i,FCVCAD000506
NPS 2 1/2,CL600 RF,Plain,3  9/16,70i,FCVCAD000507
NPS 2 1/2,CL600 RF,Plain,3  9/16,76i,FCVCAD000508
NPS 2 1/2,CL600 RF,Ext 1,3  9/16,50i,FCVCAD000509
NPS 2 1/2,CL600 RF,Ext 1,3  9/16,60i,FCVCAD000510
NPS 2 1/2,CL600 RF,Ext 1,3  9/16,70i,FCVCAD000511
NPS 2 1/2,CL600 RF,Ext 1,3  9/16,76i,FCVCAD000512
NPS 2 1/2,CL600 RF,Ext 1,5,80,FCVCAD000513
NPS 2 1/2,CL600 RF,Ext 1,5,87,FCVCAD000514
NPS 2 1/2,CL600 RTJ,Plain,2 13/16,40i,FCVCAD000515
NPS 2 1/2,CL600 RTJ,Plain,2 13/16,45i,FCVCAD000516
NPS 2 1/2,CL600 RTJ,Plain,2 13/16,46i,FCVCAD000517
NPS 2 1/2,CL600 RTJ,Ext 1,2 13/16,40i,FCVCAD000518
NPS 2 1/2,CL600 RTJ,Ext 1,2 13/16,45i,FCVCAD000519
NPS 2 1/2,CL600 RTJ,Ext 1,2 13/16,46i,FCVCAD000520
NPS 2 1/2,CL600 RTJ,Plain,3  9/16,50i,FCVCAD000521
NPS 2 1/2,CL600 RTJ,Plain,3  9/16,60i,FCVCAD000522
NPS 2 1/2,CL600 RTJ,Plain,3  9/16,70i,FCVCAD000523
NPS 2 1/2,CL600 RTJ,Plain,3  9/16,76i,FCVCAD000524
NPS 2 1/2,CL600 RTJ,Ext 1,3  9/16,50i,FCVCAD000525
NPS 2 1/2,CL600 RTJ,Ext 1,3  9/16,60i,FCVCAD000526
NPS 2 1/2,CL600 RTJ,Ext 1,3  9/16,70i,FCVCAD000527
NPS 2 1/2,CL600 RTJ,Ext 1,3  9/16,76i,FCVCAD000528
NPS 2 1/2,CL600 RTJ,Ext 1,5,80,FCVCAD000529
NPS 2 1/2,CL600 RTJ,Ext 1,5,87,FCVCAD000530
NPS 2 1/2,BWE,Plain,2 13/16,40i,FCVCAD000531
NPS 2 1/2,BWE,Plain,2 13/16,45i,FCVCAD000532
NPS 2 1/2,BWE,Plain,2 13/16,46i,FCVCAD000533
NPS 2 1/2,BWE,Ext 1,2 13/16,40i,FCVCAD000534
NPS 2 1/2,BWE,Ext 1,2 13/16,45i,FCVCAD000535
NPS 2 1/2,BWE,Ext 1,2 13/16,46i,FCVCAD000536
NPS 2 1/2,BWE,Plain,3  9/16,50i,FCVCAD000537
NPS 2 1/2,BWE,Plain,3  9/16,60i,FCVCAD000538
NPS 2 1/2,BWE,Plain,3  9/16,70i,FCVCAD000539
NPS 2 1/2,BWE,Plain,3  9/16,76i,FCVCAD000540
NPS 2 1/2,BWE,Ext 1,3  9/16,50i,FCVCAD000541
NPS 2 1/2,BWE,Ext 1,3  9/16,60i,FCVCAD000542
NPS 2 1/2,BWE,Ext 1,3  9/16,70i,FCVCAD000543
NPS 2 1/2,BWE,Ext 1,3  9/16,76i,FCVCAD000544
NPS 2 1/2,BWE,Ext 1,5,80,FCVCAD000545
NPS 2 1/2,BWE,Ext 1,5,87,FCVCAD000546
NPS 2 1/2,PN10-16,Plain,2 13/16,40i,FCVCAD000547
NPS 2 1/2,PN10-16,Plain,2 13/16,45i,FCVCAD000548
NPS 2 1/2,PN10-16,Plain,2 13/16,46i,FCVCAD000549
NPS 2 1/2,PN10-16,Ext 1,2 13/16,40i,FCVCAD000550
NPS 2 1/2,PN10-16,Ext 1,2 13/16,45i,FCVCAD000551
NPS 2 1/2,PN10-16,Ext 1,2 13/16,46i,FCVCAD000552
NPS 2 1/2,PN10-16,Plain,3  9/16,50i,FCVCAD000553
NPS 2 1/2,PN10-16,Plain,3  9/16,60i,FCVCAD000554
NPS 2 1/2,PN10-16,Plain,3  9/16,70i,FCVCAD000555
NPS 2 1/2,PN10-16,Plain,3  9/16,76i,FCVCAD000556
NPS 2 1/2,PN10-16,Ext 1,3  9/16,50i,FCVCAD000557
NPS 2 1/2,PN10-16,Ext 1,3  9/16,60i,FCVCAD000558
NPS 2 1/2,PN10-16,Ext 1,3  9/16,70i,FCVCAD000559
NPS 2 1/2,PN10-16,Ext 1,3  9/16,76i,FCVCAD000560
NPS 2 1/2,PN10-16,Ext 1,5,80,FCVCAD000561
NPS 2 1/2,PN10-16,Ext 1,5,87,FCVCAD000562
NPS 2 1/2,PN25-40,Plain,2 13/16,40i,FCVCAD000563
NPS 2 1/2,PN25-40,Plain,2 13/16,45i,FCVCAD000564
NPS 2 1/2,PN25-40,Plain,2 13/16,46i,FCVCAD000565
NPS 2 1/2,PN25-40,Ext 1,2 13/16,40i,FCVCAD000566
NPS 2 1/2,PN25-40,Ext 1,2 13/16,45i,FCVCAD000567
NPS 2 1/2,PN25-40,Ext 1,2 13/16,46i,FCVCAD000568
NPS 2 1/2,PN25-40,Plain,3  9/16,50i,FCVCAD000569
NPS 2 1/2,PN25-40,Plain,3  9/16,60i,FCVCAD000570
NPS 2 1/2,PN25-40,Plain,3  9/16,70i,FCVCAD000571
NPS 2 1/2,PN25-40,Plain,3  9/16,76i,FCVCAD000572
NPS 2 1/2,PN25-40,Ext 1,3  9/16,50i,FCVCAD000573
NPS 2 1/2,PN25-40,Ext 1,3  9/16,60i,FCVCAD000574
NPS 2 1/2,PN25-40,Ext 1,3  9/16,70i,FCVCAD000575
NPS 2 1/2,PN25-40,Ext 1,3  9/16,76i,FCVCAD000576
NPS 2 1/2,PN25-40,Ext 1,5,80,FCVCAD000577
NPS 2 1/2,PN25-40,Ext 1,5,87,FCVCAD000578
NPS 2 1/2,PN63,Plain,2 13/16,40i,FCVCAD000579
NPS 2 1/2,PN63,Plain,2 13/16,45i,FCVCAD000580
NPS 2 1/2,PN63,Plain,2 13/16,46i,FCVCAD000581
NPS 2 1/2,PN63,Ext 1,2 13/16,40i,FCVCAD000582
NPS 2 1/2,PN63,Ext 1,2 13/16,45i,FCVCAD000583
NPS 2 1/2,PN63,Ext 1,2 13/16,46i,FCVCAD000584
NPS 2 1/2,PN63,Plain,3  9/16,50i,FCVCAD000585
NPS 2 1/2,PN63,Plain,3  9/16,60i,FCVCAD000586
NPS 2 1/2,PN63,Plain,3  9/16,70i,FCVCAD000587
NPS 2 1/2,PN63,Plain,3  9/16,76i,FCVCAD000588
NPS 2 1/2,PN63,Ext 1,3  9/16,50i,FCVCAD000589
NPS 2 1/2,PN63,Ext 1,3  9/16,60i,FCVCAD000590
NPS 2 1/2,PN63,Ext 1,3  9/16,70i,FCVCAD000591
NPS 2 1/2,PN63,Ext 1,3  9/16,76i,FCVCAD000592
NPS 2 1/2,PN63,Ext 1,5,80,FCVCAD000593
NPS 2 1/2,PN63,Ext 1,5,87,FCVCAD000594
NPS 2 1/2,PN100,Plain,2 13/16,40i,FCVCAD000595
NPS 2 1/2,PN100,Plain,2 13/16,45i,FCVCAD000596
NPS 2 1/2,PN100,Plain,2 13/16,46i,FCVCAD000597
NPS 2 1/2,PN100,Ext 1,2 13/16,40i,FCVCAD000598
NPS 2 1/2,PN100,Ext 1,2 13/16,45i,FCVCAD000599
NPS 2 1/2,PN100,Ext 1,2 13/16,46i,FCVCAD000600
NPS 2 1/2,PN100,Plain,3  9/16,50i,FCVCAD000601
NPS 2 1/2,PN100,Plain,3  9/16,60i,FCVCAD000602
NPS 2 1/2,PN100,Plain,3  9/16,70i,FCVCAD000603
NPS 2 1/2,PN100,Plain,3  9/16,76i,FCVCAD000604
NPS 2 1/2,PN100,Ext 1,3  9/16,50i,FCVCAD000605
NPS 2 1/2,PN100,Ext 1,3  9/16,60i,FCVCAD000606
NPS 2 1/2,PN100,Ext 1,3  9/16,70i,FCVCAD000607
NPS 2 1/2,PN100,Ext 1,3  9/16,76i,FCVCAD000608
NPS 2 1/2,PN100,Ext 1,5,80,FCVCAD000609
NPS 2 1/2,PN100,Ext 1,5,87,FCVCAD000610
NPS 3,CL150 RF,Plain,2 13/16,40i,FCVCAD000611
NPS 3,CL150 RF,Plain,2 13/16,45i,FCVCAD000612
NPS 3,CL150 RF,Plain,2 13/16,46i,FCVCAD000613
NPS 3,CL150 RF,Ext 1,2 13/16,40i,FCVCAD000614
NPS 3,CL150 RF,Ext 1,2 13/16,45i,FCVCAD000615
NPS 3,CL150 RF,Ext 1,2 13/16,46i,FCVCAD000616
NPS 3,CL150 RF,Plain,3  9/16,50i,FCVCAD000617
NPS 3,CL150 RF,Plain,3  9/16,60i,FCVCAD000618
NPS 3,CL150 RF,Plain,3  9/16,70i,FCVCAD000619
NPS 3,CL150 RF,Plain,3  9/16,76i,FCVCAD000620
NPS 3,CL150 RF,Ext 1,3  9/16,50i,FCVCAD000621
NPS 3,CL150 RF,Ext 1,3  9/16,60i,FCVCAD000622
NPS 3,CL150 RF,Ext 1,3  9/16,70i,FCVCAD000623
NPS 3,CL150 RF,Ext 1,3  9/16,76i,FCVCAD000624
NPS 3,CL150 RF,Plain,5,80,FCVCAD000625
NPS 3,CL150 RF,Plain,5,87,FCVCAD000626
NPS 3,CL150 RF,Ext 1,5,80,FCVCAD000627
NPS 3,CL150 RF,Ext 1,5,87,FCVCAD000628
NPS 3,CL150 RF,Plain,5H,100,FCVCAD000629
NPS 3,CL150 RF,Ext 1,5H,100,FCVCAD000630
NPS 3,CL150 RTJ,Plain,2 13/16,40i,FCVCAD000631
NPS 3,CL150 RTJ,Plain,2 13/16,45i,FCVCAD000632
NPS 3,CL150 RTJ,Plain,2 13/16,46i,FCVCAD000633
NPS 3,CL150 RTJ,Ext 1,2 13/16,40i,FCVCAD000634
NPS 3,CL150 RTJ,Ext 1,2 13/16,45i,FCVCAD000635
NPS 3,CL150 RTJ,Ext 1,2 13/16,46i,FCVCAD000636
NPS 3,CL150 RTJ,Plain,3  9/16,50i,FCVCAD000637
NPS 3,CL150 RTJ,Plain,3  9/16,60i,FCVCAD000638
NPS 3,CL150 RTJ,Plain,3  9/16,70i,FCVCAD000639
NPS 3,CL150 RTJ,Plain,3  9/16,76i,FCVCAD000640
NPS 3,CL150 RTJ,Ext 1,3  9/16,50i,FCVCAD000641
NPS 3,CL150 RTJ,Ext 1,3  9/16,60i,FCVCAD000642
NPS 3,CL150 RTJ,Ext 1,3  9/16,70i,FCVCAD000643
NPS 3,CL150 RTJ,Ext 1,3  9/16,76i,FCVCAD000644
NPS 3,CL150 RTJ,Plain,5,80,FCVCAD000645
NPS 3,CL150 RTJ,Plain,5,87,FCVCAD000646
NPS 3,CL150 RTJ,Ext 1,5,80,FCVCAD000647
NPS 3,CL150 RTJ,Ext 1,5,87,FCVCAD000648
NPS 3,CL150 RTJ,Plain,5H,100,FCVCAD000649
NPS 3,CL150 RTJ,Ext 1,5H,100,FCVCAD000650
NPS 3,CL300 RF,Plain,2 13/16,40i,FCVCAD000651
NPS 3,CL300 RF,Plain,2 13/16,45i,FCVCAD000652
NPS 3,CL300 RF,Plain,2 13/16,46i,FCVCAD000653
NPS 3,CL300 RF,Ext 1,2 13/16,40i,FCVCAD000654
NPS 3,CL300 RF,Ext 1,2 13/16,45i,FCVCAD000655
NPS 3,CL300 RF,Ext 1,2 13/16,46i,FCVCAD000656
NPS 3,CL300 RF,Plain,3  9/16,50i,FCVCAD000657
NPS 3,CL300 RF,Plain,3  9/16,60i,FCVCAD000658
NPS 3,CL300 RF,Plain,3  9/16,70i,FCVCAD000659
NPS 3,CL300 RF,Plain,3  9/16,76i,FCVCAD000660
NPS 3,CL300 RF,Ext 1,3  9/16,50i,FCVCAD000661
NPS 3,CL300 RF,Ext 1,3  9/16,60i,FCVCAD000662
NPS 3,CL300 RF,Ext 1,3  9/16,70i,FCVCAD000663
NPS 3,CL300 RF,Ext 1,3  9/16,76i,FCVCAD000664
NPS 3,CL300 RF,Plain,5,80,FCVCAD000665
NPS 3,CL300 RF,Plain,5,87,FCVCAD000666
NPS 3,CL300 RF,Ext 1,5,80,FCVCAD000667
NPS 3,CL300 RF,Ext 1,5,87,FCVCAD000668
NPS 3,CL300 RF,Plain,5H,100,FCVCAD000669
NPS 3,CL300 RF,Ext 1,5H,100,FCVCAD000670
NPS 3,CL300 RTJ,Plain,2 13/16,40i,FCVCAD000671
NPS 3,CL300 RTJ,Plain,2 13/16,45i,FCVCAD000672
NPS 3,CL300 RTJ,Plain,2 13/16,46i,FCVCAD000673
NPS 3,CL300 RTJ,Ext 1,2 13/16,40i,FCVCAD000674
NPS 3,CL300 RTJ,Ext 1,2 13/16,45i,FCVCAD000675
NPS 3,CL300 RTJ,Ext 1,2 13/16,46i,FCVCAD000676
NPS 3,CL300 RTJ,Plain,3  9/16,50i,FCVCAD000677
NPS 3,CL300 RTJ,Plain,3  9/16,60i,FCVCAD000678
NPS 3,CL300 RTJ,Plain,3  9/16,70i,FCVCAD000679
NPS 3,CL300 RTJ,Plain,3  9/16,76i,FCVCAD000680
NPS 3,CL300 RTJ,Ext 1,3  9/16,50i,FCVCAD000681
NPS 3,CL300 RTJ,Ext 1,3  9/16,60i,FCVCAD000682
NPS 3,CL300 RTJ,Ext 1,3  9/16,70i,FCVCAD000683
NPS 3,CL300 RTJ,Ext 1,3  9/16,76i,FCVCAD000684
NPS 3,CL300 RTJ,Plain,5,80,FCVCAD000685
NPS 3,CL300 RTJ,Plain,5,87,FCVCAD000686
NPS 3,CL300 RTJ,Ext 1,5,80,FCVCAD000687
NPS 3,CL300 RTJ,Ext 1,5,87,FCVCAD000688
NPS 3,CL300 RTJ,Plain,5H,100,FCVCAD000689
NPS 3,CL300 RTJ,Ext 1,5H,100,FCVCAD000690
NPS 3,CL600 RF,Plain,2 13/16,40i,FCVCAD000691
NPS 3,CL600 RF,Plain,2 13/16,45i,FCVCAD000692
NPS 3,CL600 RF,Plain,2 13/16,46i,FCVCAD000693
NPS 3,CL600 RF,Ext 1,2 13/16,40i,FCVCAD000694
NPS 3,CL600 RF,Ext 1,2 13/16,45i,FCVCAD000695
NPS 3,CL600 RF,Ext 1,2 13/16,46i,FCVCAD000696
NPS 3,CL600 RF,Plain,3  9/16,50i,FCVCAD000697
NPS 3,CL600 RF,Plain,3  9/16,60i,FCVCAD000698
NPS 3,CL600 RF,Plain,3  9/16,70i,FCVCAD000699
NPS 3,CL600 RF,Plain,3  9/16,76i,FCVCAD000700
NPS 3,CL600 RF,Ext 1,3  9/16,50i,FCVCAD000701
NPS 3,CL600 RF,Ext 1,3  9/16,60i,FCVCAD000702
NPS 3,CL600 RF,Ext 1,3  9/16,70i,FCVCAD000703
NPS 3,CL600 RF,Ext 1,3  9/16,76i,FCVCAD000704
NPS 3,CL600 RF,Plain,5,80,FCVCAD000705
NPS 3,CL600 RF,Plain,5,87,FCVCAD000706
NPS 3,CL600 RF,Ext 1,5,80,FCVCAD000707
NPS 3,CL600 RF,Ext 1,5,87,FCVCAD000708
NPS 3,CL600 RF,Plain,5H,100,FCVCAD000709
NPS 3,CL600 RF,Ext 1,5H,100,FCVCAD000710
NPS 3,CL600 RTJ,Plain,2 13/16,40i,FCVCAD000711
NPS 3,CL600 RTJ,Plain,2 13/16,45i,FCVCAD000712
NPS 3,CL600 RTJ,Plain,2 13/16,46i,FCVCAD000713
NPS 3,CL600 RTJ,Ext 1,2 13/16,40i,FCVCAD000714
NPS 3,CL600 RTJ,Ext 1,2 13/16,45i,FCVCAD000715
NPS 3,CL600 RTJ,Ext 1,2 13/16,46i,FCVCAD000716
NPS 3,CL600 RTJ,Plain,3  9/16,50i,FCVCAD000717
NPS 3,CL600 RTJ,Plain,3  9/16,60i,FCVCAD000718
NPS 3,CL600 RTJ,Plain,3  9/16,70i,FCVCAD000719
NPS 3,CL600 RTJ,Plain,3  9/16,76i,FCVCAD000720
NPS 3,CL600 RTJ,Ext 1,3  9/16,50i,FCVCAD000721
NPS 3,CL600 RTJ,Ext 1,3  9/16,60i,FCVCAD000722
NPS 3,CL600 RTJ,Ext 1,3  9/16,70i,FCVCAD000723
NPS 3,CL600 RTJ,Ext 1,3  9/16,76i,FCVCAD000724
NPS 3,CL600 RTJ,Plain,5,80,FCVCAD000725
NPS 3,CL600 RTJ,Plain,5,87,FCVCAD000726
NPS 3,CL600 RTJ,Ext 1,5,80,FCVCAD000727
NPS 3,CL600 RTJ,Ext 1,5,87,FCVCAD000728
NPS 3,CL600 RTJ,Plain,5H,100,FCVCAD000729
NPS 3,CL600 RTJ,Ext 1,5H,100,FCVCAD000730
NPS 3,BWE,Plain,2 13/16,40i,FCVCAD000731
NPS 3,BWE,Plain,2 13/16,45i,FCVCAD000732
NPS 3,BWE,Plain,2 13/16,46i,FCVCAD000733
NPS 3,BWE,Ext 1,2 13/16,40i,FCVCAD000734
NPS 3,BWE,Ext 1,2 13/16,45i,FCVCAD000735
NPS 3,BWE,Ext 1,2 13/16,46i,FCVCAD000736
NPS 3,BWE,Plain,3  9/16,50i,FCVCAD000737
NPS 3,BWE,Plain,3  9/16,60i,FCVCAD000738
NPS 3,BWE,Plain,3  9/16,70i,FCVCAD000739
NPS 3,BWE,Plain,3  9/16,76i,FCVCAD000740
NPS 3,BWE,Ext 1,3  9/16,50i,FCVCAD000741
NPS 3,BWE,Ext 1,3  9/16,60i,FCVCAD000742
NPS 3,BWE,Ext 1,3  9/16,70i,FCVCAD000743
NPS 3,BWE,Ext 1,3  9/16,76i,FCVCAD000744
NPS 3,BWE,Plain,5,80,FCVCAD000745
NPS 3,BWE,Plain,5,87,FCVCAD000746
NPS 3,BWE,Ext 1,5,80,FCVCAD000747
