Size,Pressure class,Flange type,Actuator,Name
DN 250 / NPS 10,CL300,RF,Size 3,FCVCAD001655
DN 250 / NPS 10,PN10,Type B,Size 2,FCVCAD001656
DN 250 / NPS 10,PN10,Type B,Size 3,FCVCAD001657
DN 250 / NPS 10,PN10,Type F,Size 2,FCVCAD001658
DN 250 / NPS 10,PN10,Type F,Size 3,FCVCAD001659
DN 250 / NPS 10,PN16,Type B,Size 2,FCVCAD001660
DN 250 / NPS 10,PN16,Type B,Size 3,FCVCAD001661
DN 250 / NPS 10,PN16,Type F,Size 2,FCVCAD001662
DN 250 / NPS 10,PN16,Type F,Size 3,FCVCAD001663
DN 250 / NPS 10,PN25,Type B,Size 2,FCVCAD001664
DN 250 / NPS 10,PN25,Type B,Size 3,FCVCAD001665
DN 250 / NPS 10,PN25,Type F,Size 2,FCVCAD001666
DN 250 / NPS 10,PN25,Type F,Size 3,FCVCAD001667
DN 250 / NPS 10,PN40,Type B,Size 2,FCVCAD001668
DN 250 / NPS 10,PN40,Type B,Size 3,FCVCAD001669
DN 250 / NPS 10,PN40,Type F,Size 2,FCVCAD001670
DN 250 / NPS 10,PN40,Type F,Size 3,FCVCAD001671
DN 300 / NPS 12,CL150,RF,Size 3,FCVCAD001672
DN 300 / NPS 12,CL300,RF,Size 3,FCVCAD001673
DN 300 / NPS 12,PN10,Type B,Size 3,FCVCAD001674
DN 300 / NPS 12,PN10,Type F,Size 3,FCVCAD001675
DN 300 / NPS 12,PN16,Type B,Size 3,FCVCAD001676
DN 300 / NPS 12,PN16,Type F,Size 3,FCVCAD001677
DN 300 / NPS 12,PN25,Type B,Size 3,FCVCAD001678
DN 300 / NPS 12,PN25,Type F,Size 3,FCVCAD001679
DN 300 / NPS 12,PN40,Type B,Size 3,FCVCAD001680
DN 300 / NPS 12,PN40,Type F,Size 3,FCVCAD001681
DN 350 / NPS 14,CL150 Vertical,RF,Size 3,FCVCAD001682
DN 350 / NPS 14,CL150 Horizontal,RF,Size 3,FCVCAD001683
DN 350 / NPS 14,CL300 Vertical,RF,Size 3,FCVCAD001684
DN 350 / NPS 14,CL300 Horizontal,RF,Size 3,FCVCAD001685
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
